UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Machine failure
1,M00001,M,298.52,309.82,1377.0,29.56,187,0,0,0,0,0,0
2,M00002,L,301.85,309.14,1866.0,33.82,234,1,0,0,0,0,1
3,M00003,H,300.07,311.59,1494.0,29.65,207,0,0,0,0,0,0
4,M00004,M,299.43,309.53,1685.0,24.36,72,0,0,0,0,0,0
5,M00005,L,299.79,309.39,1490.0,42.19,204,0,0,0,0,0,0
6,M00006,H,300.45,310.21,1494.0,42.35,103,0,0,0,0,0,0
7,M00007,M,301.23,313.39,1395.0,57.01,4,0,0,0,0,0,0
8,M00008,M,298.0,307.32,1521.0,33.32,189,0,0,0,0,0,0
9,M00009,L,297.92,311.54,1557.0,42.96,208,0,0,0,0,0,0
10,M00010,L,302.21,306.21,1359.0,43.13,85,0,0,0,0,0,0
11,M00011,L,299.18,310.43,1477.0,37.46,112,0,0,0,0,0,0
12,M00012,H,297.17,313.15,1390.0,47.44,91,0,0,0,0,0,0
13,M00013,M,300.89,310.98,1914.0,47.75,29,0,0,1,0,0,1
14,M00014,H,300.93,310.34,1484.0,43.27,248,1,0,0,0,0,1
15,M00015,L,296.94,308.88,1778.0,37.44,5,0,0,0,0,0,0
16,M00016,L,300.46,310.06,1465.0,36.42,138,0,0,0,0,0,0
17,M00017,M,301.47,309.5,1547.0,26.32,3,0,0,0,0,0,0
18,M00018,L,300.75,308.43,1262.0,31.94,172,0,0,0,0,0,0
19,M00019,H,301.26,309.42,1420.0,33.78,225,1,0,0,0,0,1
20,M00020,M,297.19,310.4,1538.0,28.76,160,0,0,0,0,0,0
21,M00021,M,300.66,308.47,1785.0,44.4,151,0,0,0,0,0,0
22,M00022,L,299.39,308.39,1540.0,51.97,206,0,0,1,0,0,1
23,M00023,H,299.03,307.28,1749.0,30.92,243,1,0,0,0,0,1
24,M00024,H,301.74,310.78,1615.0,42.83,215,0,0,0,0,0,0
25,M00025,M,302.96,311.09,1793.0,29.66,57,0,0,0,0,0,0
26,M00026,L,303.59,310.46,1489.0,36.95,140,0,0,0,0,0,0
27,M00027,L,302.63,311.93,1930.0,33.1,204,0,0,0,0,0,0
28,M00028,L,299.78,310.18,1413.0,46.02,73,0,0,0,0,0,0
29,M00029,L,300.71,310.78,1362.0,33.21,168,0,0,0,0,0,0
30,M00030,M,301.53,310.61,1282.0,50.12,5,0,0,0,0,0,0
31,M00031,M,300.24,309.82,1920.0,37.54,219,0,0,0,0,0,0
32,M00032,H,300.26,308.94,1648.0,33.5,153,0,0,0,0,0,0
33,M00033,L,301.65,314.43,1440.0,27.47,185,0,0,0,0,0,0
34,M00034,L,299.88,309.1,1725.0,42.53,206,0,0,0,0,0,0
35,M00035,L,298.54,308.67,1624.0,48.95,54,0,0,0,0,0,0
36,M00036,L,299.17,310.87,1854.0,42.73,112,0,0,0,0,0,0
37,M00037,L,301.27,310.5,1221.0,62.39,214,0,0,0,1,0,1
38,M00038,L,300.01,307.19,1452.0,54.3,41,0,0,0,0,0,0
39,M00039,L,300.68,312.25,1417.0,36.92,205,0,0,0,0,0,0
40,M00040,M,301.34,309.81,1145.0,36.82,72,0,0,0,0,0,0
41,M00041,L,299.25,307.78,1691.0,44.7,143,0,0,0,0,0,0
42,M00042,H,301.51,312.38,1451.0,31.62,127,0,0,0,0,0,0
43,M00043,M,300.76,311.25,1633.0,51.66,171,0,0,1,0,0,1
44,M00044,L,297.53,307.47,1925.0,43.62,209,0,0,1,0,0,1
45,M00045,H,302.88,313.55,1436.0,42.56,87,0,0,0,0,0,0
46,M00046,H,299.0,311.32,1424.0,46.87,42,0,0,0,0,0,0
47,M00047,L,296.69,309.98,1521.0,57.23,105,0,0,1,0,0,1
48,M00048,L,297.91,313.18,1678.0,41.71,153,0,0,0,0,0,0
49,M00049,M,297.96,310.32,1398.0,38.87,187,0,0,0,0,0,0
50,M00050,L,300.1,309.94,1386.0,55.09,188,0,0,0,0,0,0
51,M00051,L,299.45,308.68,1690.0,49.68,84,0,0,1,0,0,1
52,M00052,L,299.33,311.16,1568.0,36.79,234,1,0,0,0,0,1
53,M00053,M,301.24,310.95,1132.0,40.05,20,0,0,0,0,0,0
54,M00054,M,300.68,310.03,1279.0,41.95,29,0,0,0,0,0,0
55,M00055,M,300.63,308.42,1770.0,43.62,6,0,0,0,0,0,0
56,M00056,M,300.82,310.26,1572.0,26.43,231,1,0,0,0,0,1
57,M00057,L,301.23,309.86,1363.0,24.58,45,0,0,0,0,0,0
58,M00058,M,295.78,307.33,1469.0,31.13,150,0,0,0,0,0,0
59,M00059,L,299.27,307.06,1502.0,30.35,203,0,0,0,0,0,0
60,M00060,L,295.64,311.13,1632.0,33.56,191,0,0,0,0,0,0
61,M00061,M,300.07,304.8,1256.0,46.35,237,1,0,0,0,0,1
62,M00062,L,299.99,310.41,1349.0,38.31,13,0,0,0,0,0,0
63,M00063,M,302.09,309.04,1549.0,41.96,101,0,0,0,0,0,0
64,M00064,M,302.38,312.62,1482.0,27.76,126,0,0,0,0,0,0
65,M00065,M,300.41,309.01,1603.0,35.38,174,0,0,0,0,0,0
66,M00066,M,299.0,311.32,1279.0,45.87,155,0,0,0,0,0,0
67,M00067,M,300.97,309.21,1564.0,45.95,139,0,0,0,0,0,0
68,M00068,L,298.94,310.23,1696.0,32.75,76,0,0,0,0,0,0
69,M00069,L,300.0,311.47,1588.0,41.62,26,0,0,0,0,0,0
70,M00070,L,301.97,309.07,1525.0,61.99,107,0,0,1,0,0,1
71,M00071,L,298.88,311.99,1483.0,39.82,64,0,0,0,0,0,0
72,M00072,L,301.61,308.01,1350.0,33.07,138,0,0,0,0,0,0
73,M00073,H,301.35,310.59,1487.0,38.26,199,0,0,0,0,0,0
74,M00074,L,298.09,311.85,1727.0,40.92,138,0,0,0,0,0,0
75,M00075,L,301.95,311.32,1479.0,38.49,145,0,0,0,0,0,0
76,M00076,L,301.4,313.83,1340.0,39.69,10,0,0,0,0,0,0
77,M00077,L,300.2,308.47,1411.0,25.57,161,0,0,0,0,0,0
78,M00078,M,298.48,307.24,1536.0,30.37,109,0,0,0,0,0,0
79,M00079,M,298.28,308.01,1433.0,38.51,30,0,0,0,0,0,0
80,M00080,M,298.92,311.32,1587.0,38.35,53,0,0,0,0,0,0
81,M00081,M,301.09,311.0,1594.0,34.34,195,0,0,0,0,0,0
82,M00082,L,298.09,310.2,1660.0,38.23,229,1,0,0,0,0,1
83,M00083,H,300.88,307.75,1756.0,40.61,126,0,0,0,0,0,0
84,M00084,L,297.52,311.53,1679.0,48.89,244,1,0,1,0,0,1
85,M00085,L,299.59,307.55,1332.0,39.01,45,0,0,0,0,0,0
86,M00086,L,300.22,312.32,1337.0,43.99,74,0,0,0,0,0,0
87,M00087,M,304.89,315.71,1486.0,34.58,232,1,1,0,0,0,1
88,M00088,L,297.25,310.73,1419.0,45.72,43,0,0,0,0,0,0
89,M00089,L,302.94,311.17,1295.0,43.76,164,0,0,0,0,0,0
90,M00090,M,300.3,309.01,1420.0,48.66,54,0,0,0,0,0,0
91,M00091,L,300.82,306.38,1415.0,47.13,82,0,0,0,0,0,0
92,M00092,M,300.24,308.79,1379.0,45.89,119,0,0,0,0,0,0
93,M00093,L,300.89,307.81,1443.0,39.02,89,0,0,0,0,0,0
